b01	你好。	nǐ hǎo
b02	再见。	zài jiàn
b03	请。	qǐng
b04	谢谢。	xiè xie
b05	是的。	shì de
b06	不是。	bú shì
b07	不好意思。	bù hǎo yì si
b08	对不起。	duì bu qǐ
b09	早上好。	zǎo shang hǎo
b10	晚上好。	wǎn shang hǎo
b11	我叫...	wǒ jiào ...
b12	您怎么称呼？	nín zěn me chēng hu
b13	很高兴认识您。	hěn gāo xìng rèn shi nín
b14	我来自美国。	wǒ lái zì měi guó
b15	您能帮我吗？	nín néng bāng wǒ ma
b16	请稍等。	qǐng shāo děng
b17	我明白了。	wǒ míng bai le
b18	我不明白。	wǒ bù míng bai
c01	我不会说中文。	wǒ bú huì shuō zhōng wén
c02	您会说英语吗？	nín huì shuō yīng yǔ ma
c03	这个设备可以翻译。请点选您语言的短语。	zhè ge shè bèi kě yǐ fān yì. qǐng diǎn xuǎn nín yǔ yán de duǎn yǔ
c04	请说慢一点。	qǐng shuō màn yì diǎn
c05	请再说一遍。	qǐng zài shuō yí biàn
c06	请写下来。	qǐng xiě xià lái
c07	请指一下答案。	qǐng zhǐ yí xià dá àn
c08	我会在这个屏幕上给您看短语。	wǒ huì zài zhè ge píng mù shàng gěi nín kàn duǎn yǔ
c09	对吗？	duì ma
c10	我需要翻译。	wǒ xū yào fān yì
e01	救命！	jiù mìng
e02	紧急情况！	jǐn jí qíng kuàng
e03	快报警！	kuài bào jǐng
e04	快叫救护车！	kuài jiào jiù hù chē
e05	快叫消防队！	kuài jiào xiāo fáng duì
e06	我迷路了。	wǒ mí lù le
e07	我们迷路了。	wǒ men mí lù le
e08	有人受伤了。	yǒu rén shòu shāng le
e09	有人失踪了。	yǒu rén shī zōng le
e10	我现在需要帮助。	wǒ xiàn zài xū yào bāng zhù
e11	最近的医院在哪里？	zuì jìn de yī yuàn zài nǎ lǐ
e12	出事故了。	chū shì gù le
e13	大家都没事吧？	dà jiā dōu méi shì ba
e14	我没事。	wǒ méi shì
e15	危险！	wēi xiǎn
e16	请陪我等一下。	qǐng péi wǒ děng yí xià
e17	我的位置在这个屏幕上。	wǒ de wèi zhì zài zhè ge píng mù shàng
e18	搜救人员马上就到。	sōu jiù rén yuán mǎ shàng jiù dào
h01	我需要看医生。	wǒ xū yào kàn yī shēng
h02	药店在哪里？	yào diàn zài nǎ lǐ
h03	我生病了。	wǒ shēng bìng le
